PX,Main,Mid Block,Side 1,Side 2,Private Access,Additional Info,Geo ID,Node ID,X,Y,Latitude,Longitude,Activation Date,Signal System,Non system,Mode of Control,Pedestrian Walk speed,APS,Transit Preempt,Fire preempt,Rail preempt,No. of Signalized Approaches
14,BLOOR ST E,,TED ROGERS WAY,,250 BLOOR ST E,,8536222,13463195,314415.25,4836636.5,43.6715773,-79.38052,1951-03-28 00:00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
19,QUEEN ST E,,CHURCH ST,,,,14036376,13466199,314804.79,4834588.22,43.65317,-79.375754,1983-08-24 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
25,BLOOR ST E,,CHURCH ST,,,,6522404,13463285,314206.16,4836573.5,43.6710224,-79.383123,1932-02-19 00:00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
28,QUEEN ST E,,VICTORIA ST,,,,11272989,13466287,314617.86,4834533.9,43.6526703,-79.378066,1927-11-03 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
34,YONGE ST,,QUEEN ST,,,,11226820,13466322,314523.728,4834506.857,43.6524209,-79.379276,1927-11-03 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
36,YONGE ST,,DUNDAS ST,,,,7762832,13465714,314388.69,4834938.73,43.656326,-79.380912,1927-04-04 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
38,YONGE ST,,CARLTON ST,COLLEGE ST,,,7754955,13464913,314211.688,4835498.788,43.6613687,-79.383094,1932-02-18 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
40,BLOOR ST,,YONGE ST,,,,10759265,13463436,313913.75,4836482.04,43.670229,-79.386767,1925-08-28 00:00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
46,YONGE ST,,ST CLAIR AVE,,,,8741191,13460295,313318.22,4838465,43.688075,-79.394098,1927-04-05 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
47,YONGE ST,,CHAPLIN CRES,DAVISVILLE AVE,,,7273833,13458407,313115.19,4839600,43.6982977,-79.396601,1930-06-14 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
49,YONGE ST,,EGLINTON AVE,,,,14230407,13457078,312975.13,4840536.5,43.7067501,-79.398311,1929-08-21 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
52,YONGE ST,,BLYTHWOOD RD,LYTTON BLVD,,,8566211,13455496,312804.85496,4841620.92251,43.716605,-79.400452,1954-08-12 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
55,YONGE ST,,LAWRENCE AVE,,,,10133844,13454250,312664.095,4842576.966,43.7251031,-79.402193,1941-01-03 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
56,YONGE ST,,RANLEIGH AVE,,,,7847768,13453893,312603.51,4842880.49,43.7278642,-79.40293,1929-08-24 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
57,YONGE ST,,FAIRLAWN AVE,,,,14036751,13453356,312540.891,4843217.292,43.730913,-79.403788,1956-08-29 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
60,BAY ST,,WELLINGTON ST W,,,,10224288,13467163,314486.66,4833939.64,43.647345,-79.379702,1928-09-28 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
