DIST,COUNTY,GPS_LAT,GPS_LONG,APPROACH1,APPROACH2,APPROACH3,APPROACH4
1,BALLARD,36.9647953323,-89.0891985176,004 US-51,004 US-51,004 KY-121,004 KY-121
1,BALLARD,37.0727092697,-88.9729022673,004 US-60,004 US-60,004 KY-358,004 KY-358
1,CALLOWAY,36.6238864147,-88.3186908776,018 KY-121,018 KY-121,018 GILBERT GRAVES CIR,018 WALMART DR
1,CALLOWAY,36.6227078634,-88.3243320799,018 KY-121,018 KY-121,018 16TH,018 16TH
1,CALLOWAY,36.6218672693,-88.330441736,018 KY-121,018 KY-121,018 KY-774,018 LOWES DR
1,CALLOWAY,36.6167209878,-88.3243833611,018 KY-748,018 KY-774,018 KY-1327,018 N 16TH ST
1,CALLOWAY,36.6029654255,-88.324418673,018 KY-821,018 KY-822,018 KY-822,018 SYCAMORE ST
1,CALLOWAY,36.6093509569,-88.3243986107,018 KY-94,018 KY-94,018 KY-822,018 16TH ST
1,CALLOWAY,36.605219832,-88.3518906417,018 KY-94,018 KY-94,018 KY-1660,018 ROBERTSON RD
1,CALLOWAY,36.6106133633,-88.3044383924,018 KY-94,018 KY-94,018 6TH,018 6TH
1,CALLOWAY,36.6105884879,-88.3029723298,018 KY-94,018 KY-94,018 5TH,018 5TH
1,CALLOWAY,36.6105956448,-88.3012566733,018 KY-94,018 KY-94,018 3RD ST,018 3RD ST
1,CALLOWAY,36.6125739568,-88.3152015166,018 US-641,018 US-641,018 OLIVE ST,018 OLIVE ST
1,CALLOWAY,36.6105714887,-88.3152247671,018 US-641,018 US-641,018 KY-94,018 KY-94
1,CALLOWAY,36.6028465509,-88.31521083,018 US-641,018 US-641,018 KY-821,018 SYCAMORE
1,CALLOWAY,36.6464057694,-88.3080848609,018 US-641,018 US-641,018 PELLA WAY,018 POOR FARM RD
1,CALLOWAY,36.6275944568,-88.3139529861,018 US-641,018 US-641,018 APPLEBEES,WALMART
1,CALLOWAY,36.6212652386,-88.3149657982,018 US-641,018 US-641,018 MSU STADIUM,CRACKER BARREL
1,CALLOWAY,36.5955648007,-88.3153173291,018 US-641,018 US-641,018 US-641X,018 KY-1550
1,CALLOWAY,36.6085045198,-88.3152200478,018 US-641,018 US-641,018 POPLAR ST,018 POPLAR ST
1,CALLOWAY,36.658720895,-88.3057130169,018 US-641,018 US-641,018 MAX HURST RD, 
1,CALLOWAY,36.6240909254,-88.3148371425,018 US-641,018 US-641,018 KY-121,018 SHOPPING MALL
1,CALLOWAY,36.6390977634,-88.3093668901,018 US-641,018 US-641,018 KY-2075,018 UTTERBACK RD
1,CALLOWAY,36.6520665197,-88.3070807007,018 US-641,018 US-641,018 KY-80,018 KY-80
1,CALLOWAY,36.6170449257,-88.3150837988,018 US-641X,018 US-641X,018 KY-1327,018 KY-1327
1,CALLOWAY,36.617423426,-88.3021117359,018 US-641X,018 US-641X,018 KY-2075,018 CHESTNUT
1,CALLOWAY,36.610586082,-88.3020779541,018 US-641X,018 US-641X,018 KY-94,018 KY-94
1,CARLISLE,36.8733583007,-89.0110830175,020 US-51,020 US-51,020 JENNING ST,020 JENNING ST
1,CRITTENDEN,37.3286928328,-88.0819532985,028 US-60,028 US-641,028 US-641,028 GUM ST
1,CRITTENDEN,37.3329707073,-88.0813467048,028 US-60,028 US-60,028 KY-91,028 KY-120
1,FULTON,36.5126319388,-88.8896495833,038 US-45,038 US-45,038 KY-1648,038 KY-1648
1,GRAVES,36.7416211133,-88.6386506421,042 KY 80,042 KY 80,042 9TH ST,042 9TH ST
1,GRAVES,36.7536306697,-88.653256178,042 KY-121,042 KY-121,042 MEDICAL DR,
1,GRAVES,36.7586904515,-88.6583795112,042 KY-121,042 KY-121,042 EAGLES WAY,042 LUISA LANE
1,GRAVES,36.740655613,-88.6345947358,042 KY-121X,042 KY-121X,042 SOUTH ST,042 SOUTH ST
1,GRAVES,36.7344086135,-88.6344112988,042 KY-121X,042 KY-121X,042 E COLLEGE ST,042 E COLLEGE ST
1,GRAVES,36.7225471447,-88.6272457357,042 KY-121X,042 KY-121X,042 WYATT DR,
