MUTCD_CD,SIGNDESCRI,CARDINAL_D,ASSEMBLY_I,MILEPOINT,ROUTE_ID,XCOORD,YCOORD
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,412637,0.008000000000000,003-KY-0053  -000,-85.045801,37.975900
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,412873,0.033000000000000,003-KY-0053  -000,-85.053748,37.907300
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412966,5.934000000000000,003-KY-0053  -000,-85.024287,37.959300
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412632,8.521000000000001,003-KY-0053  -000,-85.059655,38.004500
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,413202,0.030000000000000,003-KY-0326  -000,-84.905838,38.059800
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,412931,0.033000000000000,003-KY-0395  -000,-84.999689,38.011500
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412887,2.506000000000000,003-KY-0395  -000,-85.014762,38.037700
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,412925,2.510000000000000,003-KY-0395  -000,-85.014872,38.037700
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL LEFT,412888,2.521000000000000,003-KY-0395  -000,-85.014998,38.038000
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,413055,0.012000000000000,003-KY-0512  -000,-85.014684,38.038000
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,413053,0.096000000000000,003-KY-0512  -000,-85.014671,38.039000
R1-1,Marker STOP  (Text) R1-1,MEDIAN,413091,1.761000000000000,003-KY-0512  -000,-84.935095,38.089200
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,413079,7.870000000000000,003-KY-0512  -000,-84.926969,38.078300
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,413100,8.993000000000000,003-KY-0512  -000,-84.919678,38.098400
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,412408,0.051000000000000,003-KY-0513  -000,-84.965425,37.990700
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412414,4.104000000000000,003-KY-0513  -000,-84.901550,37.973700
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412463,5.473000000000000,003-KY-0513  -000,-84.878577,37.978700
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,413719,5.482000000000000,003-KY-0513  -000,-84.873694,37.969900
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412432,1.220000000000000,003-KY-0749  -000,-84.992638,37.968100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,412419,1.254000000000000,003-KY-0749  -000,-84.993492,37.967000
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412446,4.162000000000000,003-KY-0749  -000,-84.900620,37.973300
R1-1,Marker STOP  (Text) R1-1,MEDIAN,412801,4.095000000000000,003-KY-1291  -000,-85.100791,37.939100
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412797,5.273000000000000,003-KY-1291  -000,-85.099722,37.939900
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,413585,1.698000000000000,003-KY-1510  -000,-84.857439,38.041700
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412531,1.643000000000000,003-KY-1579  -000,-85.138240,37.989900
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,412513,1.666000000000000,003-KY-1579  -000,-85.137640,37.991400
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412505,4.969000000000000,003-KY-1579  -000,-85.094118,38.016000
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,413038,2.850000000000000,003-KY-1875  -000,-85.000488,38.107800
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,412562,0.019000000000000,003-KY-3358  -000,-85.158705,37.927000
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412568,3.824000000000000,003-KY-3358  -000,-85.122657,37.953600
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,412472,0.013000000000000,003-KY-3359  -000,-84.904484,38.012400
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412482,1.050000000000000,003-KY-3359  -000,-84.889706,38.021300
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412846,1.073000000000000,003-US-0062  -000,-85.141812,37.919100
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,412834,1.073000000000000,003-US-0062  -000,-85.142545,37.919600
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,412812,3.055000000000000,003-US-0062  -000,-85.115647,37.937700
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL LEFT,412813,3.059000000000000,003-US-0062  -000,-85.115742,37.937600
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,412639,8.499000000000001,003-US-0062  -000,-85.044880,37.975800
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,413541,2.579000000000000,003-US-0127  -000,-84.878691,37.980900
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,356572,8.315500000000000,004-KY-0121  -000,-89.082561,36.964100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,401355,0.014000000000000,004-KY-0310  -000,-88.941768,37.079600
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,401348,1.973300000000000,004-KY-0310  -000,-88.967481,37.099100
