XCOORD,YCOORD
-78.119400,37.274710
-77.907387,37.369003
-77.986600,37.343800
-77.954100,37.360960
-77.913860,36.838100
-77.847150,36.759470
-77.221290,37.343020
-77.071270,37.343870
-77.137070,37.439560
-77.424220,37.401420
-77.393300,37.312700
-77.338755,37.361885
-77.343988,37.359194
-77.441420,37.450380
-77.440600,37.446570
-77.439210,37.436200
-77.436200,37.416390
-77.434150,37.408932
-77.431680,37.399850
-77.430060,37.395650
-77.427510,37.390890
-77.417360,37.367880
-77.414720,37.358330
-77.413340,37.355040
-77.412360,37.352470
-77.411300,37.349610
-77.408340,37.313300
-77.408340,37.313300
-77.408790,37.307340
-77.408930,37.305460
-77.411650,37.286330
-77.486680,37.454430
-77.487930,37.445390
-77.489030,37.443660
-77.490720,37.433570
-77.492540,37.429050
-77.502310,37.410090
-77.511620,37.398890
-77.515530,37.387070
-77.515050,37.382580
-77.508360,37.375940
-77.504620,37.375310
-77.502120,37.373640
-77.500660,37.370640
-77.498409,37.363706
-77.494340,37.354080
-77.485730,37.353110
-77.480480,37.352480
-77.458410,37.350920
-77.447900,37.355320
-77.446200,37.356130
-77.441990,37.357510
-77.437950,37.359440
-77.431370,37.359270
-77.415900,37.355340
-77.396630,37.353600
-77.365210,37.349560
-77.350390,37.347370
-77.343020,37.345980
-77.326070,37.333750
-77.306060,37.319240
-77.427860,37.239100
-77.433420,37.238900
-77.483300,37.230900
-77.529400,37.500570
-77.527700,37.500860
-77.534210,37.499910
-77.537150,37.499160
-77.540500,37.498460
-77.545140,37.497610
-77.546970,37.497000
-77.553740,37.495650
-77.556160,37.495280
-77.567340,37.497410
-77.569180,37.498240
-77.571510,37.499980
-77.576410,37.503600
-77.579570,37.505920
-77.586560,37.506690
-77.593900,37.506890
-77.598080,37.506470
-77.602690,37.506000
-77.606590,37.505790
-77.608900,37.505330
-77.611520,37.505070
-77.617800,37.504700
-77.628000,37.503210
-77.640330,37.502630
-77.650870,37.503470
-77.651710,37.503580
-77.658620,37.505180
-77.662290,37.506070
-77.677350,37.508350
-77.696973,37.511583
-77.716730,37.504630
-77.654410,37.460590
-77.453340,37.380770
-77.442830,37.331690
-77.463300,37.380000
-77.489800,37.376197
-77.445610,37.394830
-77.562320,37.537470
-77.564720,37.536140
-77.591700,37.533170
-77.595560,37.530650
-77.603390,37.524910
-77.607260,37.523860
-77.611840,37.522200
-77.615980,37.517590
-77.614100,37.511010
-77.612870,37.508140
-77.498783,37.461387
-77.646471,37.470107
-77.648472,37.468412
-77.516050,37.478380
-77.518750,37.476800
-77.525100,37.472940
-77.531000,37.469260
-77.535760,37.466510
-77.546880,37.459550
-77.567370,37.447820
-77.578420,37.444380
-77.581310,37.443470
-77.584800,37.442360
-77.588010,37.441370
-77.593740,37.439510
-77.598200,37.437940
-77.600370,37.437190
-77.609830,37.433910
-77.618660,37.430480
-77.623670,37.428310
-77.637200,37.420640
-77.640283,37.417701
-77.648350,37.411730
-77.656030,37.407880
-77.661440,37.405320
-77.664300,37.404250
-77.670410,37.404010
-77.674785,37.403795
-77.679187,37.403413
-77.683060,37.403330
-77.698955,37.401384
-77.708261,37.398771
-77.777160,37.394430
-77.564550,37.406370
-77.565220,37.407780
-77.566410,37.410490
-77.566720,37.411780
-77.581820,37.423780
-77.583280,37.430640
-77.592180,37.433120
-77.686530,37.442700
-77.649430,37.449830
-77.627420,37.449530
-77.664170,37.447920
-77.667920,37.445876
-77.661340,37.449194
-77.479230,37.404443
-77.395920,37.313600
-77.472610,37.442360
-77.472550,37.441680
-77.472730,37.440400
-77.472910,37.438190
-77.471130,37.424030
-77.450070,37.436970
-77.532530,37.462250
-77.522770,37.467810
-77.563460,37.473600
-77.580070,37.486380
-77.535070,37.492270
-77.511280,37.454820
-77.534260,37.485760
-77.610299,37.418623
-77.607890,37.499200
-77.605920,37.496400
-77.596510,37.490350
-77.597920,37.484740
-77.596680,37.473760
-77.593350,37.463730
-77.594410,37.468510
-77.591760,37.460770
-77.583900,37.448370
-77.581670,37.441110
-77.539780,37.484020
-77.641300,37.499450
-77.655000,37.492680
-77.660600,37.492060
-77.581730,37.507290
-77.585020,37.508960
-77.590890,37.514070
-77.598390,37.517460
-77.605860,37.520190
-77.551120,37.482560
-77.561370,37.534660
-77.554720,37.516920
-77.552720,37.509660
-77.529500,37.516180
-77.531880,37.517540
-77.615600,37.523430
-77.625050,37.527710
-77.636540,37.536220
-77.653100,37.547210
-77.572720,37.520109
-77.564610,37.522889
-77.654113,37.457243
-77.610200,37.511940
-77.606866,37.511851
-77.665050,37.523890
-77.656300,37.468160
-77.596930,37.500300
-77.716510,36.981510
-77.455390,37.214540
-77.487340,37.183190
-77.472400,37.191970
-77.474250,37.190366
-77.467390,37.196040
-77.458740,37.214350
-77.495241,37.189767
-77.509260,37.193690
-77.504140,37.193204
-77.512210,37.193802
-77.523335,37.195784
-77.459400,37.185480
-77.879850,37.667256
-77.882470,37.670271
-77.881690,37.668910
-77.887650,37.693360
-77.669130,37.681840
-77.687604,37.671109
-77.787860,37.704840
-77.675100,37.668380
-77.672460,37.636470
-77.462210,37.686740
-77.461770,37.681840
-77.474250,37.819350
-77.473450,37.821443
-77.467720,37.714590
-77.464800,37.845680
-77.447790,37.846920
-77.443980,37.848390
-77.584359,37.732092
-77.519790,37.778660
-77.317350,37.590430
-77.331640,37.601430
-77.347460,37.599270
-77.368300,37.601020
-77.636710,37.709740
-77.637990,37.711954
-77.420420,37.641860
-77.407670,37.647520
-77.405340,37.648290
-77.403130,37.649440
-77.399360,37.650880
-77.386370,37.658260
-77.380690,37.676860
-77.383760,37.694900
-77.374060,37.602490
-77.372100,37.604080
-77.382710,37.595420
-77.377480,37.598880
-77.370200,37.602570
-77.355050,37.609740
-77.353000,37.610640
-77.349720,37.611030
-77.343310,37.611290
-77.339280,37.612060
-77.334070,37.613040
-77.327220,37.614370
-77.298090,37.627240
-77.298080,37.627160
-77.264500,37.638340
-77.246190,37.646750
-77.389120,37.624110
-77.385088,37.627000
-77.377210,37.628470
-77.356539,37.633339
-77.336650,37.636970
-77.440020,37.691410
-77.438280,37.689710
-77.407678,37.657835
-77.383770,37.652190
-77.355434,37.605355
-77.453170,37.719340
-77.524060,37.604920
-77.457000,37.611520
-77.362210,37.532940
-77.360140,37.530810
-77.555550,37.623270
-77.454860,37.604860
-77.457180,37.617610
-77.457780,37.622620
-77.458400,37.628060
-77.458758,37.632335
-77.459280,37.635080
-77.459630,37.637980
-77.460200,37.644140
-77.460117,37.642091
-77.459860,37.653000
-77.460680,37.665950
-77.460957,37.668473
-77.460780,37.671350
-77.460849,37.674086
-77.461128,37.676241
-77.383010,37.465700
-77.384730,37.467379
-77.370870,37.454260
-77.351410,37.444280
-77.534670,37.592670
-77.548950,37.593670
-77.566380,37.594630
-77.575860,37.595250
-77.583400,37.595660
-77.594540,37.596260
-77.607080,37.596940
-77.617780,37.597510
-77.389800,37.543870
-77.386270,37.542710
-77.381750,37.541410
-77.376970,37.540770
-77.372250,37.542510
-77.369970,37.544230
-77.366420,37.545750
-77.364620,37.546300
-77.354209,37.549858
-77.343100,37.551080
-77.327660,37.546000
-77.319470,37.537360
-77.302690,37.520430
-77.492260,37.583150
-77.491550,37.585810
-77.492460,37.588780
-77.493180,37.591150
-77.493180,37.592600
-77.490930,37.601130
-77.491750,37.603340
-77.494970,37.607210
-77.496830,37.613620
-77.497790,37.615360
-77.499630,37.618500
-77.503150,37.622300
-77.504630,37.626420
-77.508320,37.632430
-77.509900,37.634990
-77.513924,37.639103
-77.516130,37.641170
-77.518300,37.645260
-77.522560,37.655550
-77.525140,37.658966
-77.536490,37.672990
-77.542297,37.685722
-77.377830,37.518370
-77.354190,37.517870
-77.349940,37.517230
-77.342860,37.517850
-77.340700,37.517920
-77.328220,37.521200
-77.313410,37.523020
-77.312640,37.522820
-77.261590,37.507690
-77.240380,37.510010
-77.236110,37.510689
-77.456540,37.635300
-77.535230,37.568080
-77.575830,37.572740
-77.309920,37.543870
-77.328430,37.523820
-77.562190,37.662800
-77.560540,37.648910
-77.564104,37.637820
-77.574310,37.627900
-77.578690,37.607360
-77.590450,37.607380
-77.591100,37.603570
-77.559250,37.643010
-77.467400,37.603880
-77.470730,37.616870
-77.480320,37.575380
-77.496760,37.584220
-77.501400,37.588000
-77.503870,37.590010
-77.510740,37.595650
-77.513010,37.597550
-77.514520,37.600360
-77.514938,37.602053
-77.518210,37.608290
-77.519650,37.610720
-77.520850,37.613370
-77.521630,37.614490
-77.523150,37.617390
-77.524380,37.619660
-77.526720,37.622090
-77.532050,37.626680
-77.535530,37.629930
-77.539760,37.632280
-77.544840,37.634330
-77.546590,37.635190
-77.549930,37.636370
-77.555840,37.638720
-77.560670,37.640660
-77.564720,37.642340
-77.568870,37.643990
-77.572760,37.645420
-77.575360,37.645760
-77.583100,37.646740
-77.586480,37.647360
-77.596000,37.648530
-77.599840,37.649110
-77.604330,37.649740
-77.607610,37.650440
-77.611710,37.651440
-77.615964,37.652244
-77.621240,37.653300
-77.625528,37.655385
-77.629062,37.656930
-77.632870,37.658470
-77.611200,37.653340
